"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"AESO3<XBSP>","4T2022",2729781
"AESO3<XBSP>","1T2023",2758607
"AESO3<XBSP>","2T2023",2764712
"AESO3<XBSP>","3T2023",2803102
"AESO3<XBSP>","4T2023",2897333
"AESO3<XBSP>","1T2024",2886408
"AESO3<XBSP>","2T2024",2844324
"AFLT3<XBSP>","1T2010",75837
"AFLT3<XBSP>","2T2010",72829
"AFLT3<XBSP>","3T2010",76882
"AFLT3<XBSP>","4T2010",76345
"AFLT3<XBSP>","1T2011",81734
"AFLT3<XBSP>","2T2011",75243
"AFLT3<XBSP>","3T2011",80188
"AFLT3<XBSP>","4T2011",81257
"AFLT3<XBSP>","1T2012",86259
"AFLT3<XBSP>","2T2012",75759
"AFLT3<XBSP>","3T2012",80397
"AFLT3<XBSP>","4T2012",79668
"AFLT3<XBSP>","1T2013",84273
"AFLT3<XBSP>","2T2013",76786
"AFLT3<XBSP>","3T2013",72786
"AFLT3<XBSP>","4T2013",77503
"AFLT3<XBSP>","1T2014",81882
"AFLT3<XBSP>","2T2014",74739
"AFLT3<XBSP>","3T2014",73910
"AFLT3<XBSP>","4T2014",76650
"AFLT3<XBSP>","1T2015",80865
"AFLT3<XBSP>","2T2015",77812
"AFLT3<XBSP>","3T2015",79332
"AFLT3<XBSP>","4T2015",78418
"AFLT3<XBSP>","1T2016",81827
"AFLT3<XBSP>","2T2016",76917
"AFLT3<XBSP>","3T2016",74743
"AFLT3<XBSP>","4T2016",76206
"AFLT3<XBSP>","1T2017",52058
"AFLT3<XBSP>","2T2017",47846
"AFLT3<XBSP>","3T2017",42744
"AFLT3<XBSP>","4T2017",44935
"AFLT3<XBSP>","1T2018",43022
"AFLT3<XBSP>","2T2018",46671
"AFLT3<XBSP>","3T2018",51844
"AFLT3<XBSP>","4T2018",195754
"AFLT3<XBSP>","1T2019",202191
"AFLT3<XBSP>","2T2019",208222
"AFLT3<XBSP>","3T2019",216847
"AFLT3<XBSP>","4T2019",214346
"AFLT3<XBSP>","1T2020",220256
"AFLT3<XBSP>","2T2020",225320
"AFLT3<XBSP>","3T2020",186712
"AFLT3<XBSP>","4T2020",187459
"AFLT3<XBSP>","1T2021",193540
"AFLT3<XBSP>","2T2021",171738
"AFLT3<XBSP>","3T2021",178674
"AFLT3<XBSP>","4T2021",247518
"AFLT3<XBSP>","1T2022",256222
"AFLT3<XBSP>","2T2022",261491
"AFLT3<XBSP>","3T2022",271493
"AFLT3<XBSP>","4T2022",260732
"AFLT3<XBSP>","1T2023",271165
"AFLT3<XBSP>","2T2023",250012
"AFLT3<XBSP>","3T2023",261604
"AFLT3<XBSP>","4T2023",254149
"AFLT3<XBSP>","1T2024",261489
"AFLT3<XBSP>","2T2024",241397
"GRAO3<XBSP>","1T2010","-"
"GRAO3<XBSP>","2T2010","-"
"GRAO3<XBSP>","3T2010","-"
"GRAO3<XBSP>","4T2010","-"
"GRAO3<XBSP>","1T2011","-"
"GRAO3<XBSP>","2T2011","-"
"GRAO3<XBSP>","3T2011","-"
"GRAO3<XBSP>","4T2011","-"
"GRAO3<XBSP>","1T2012","-"
"GRAO3<XBSP>","2T2012","-"
"GRAO3<XBSP>","3T2012","-"
"GRAO3<XBSP>","4T2012","-"
"GRAO3<XBSP>","1T2013","-"
"GRAO3<XBSP>","2T2013","-"
"GRAO3<XBSP>","3T2013","-"
"GRAO3<XBSP>","4T2013","-"
"GRAO3<XBSP>","1T2014","-"
"GRAO3<XBSP>","2T2014","-"
"GRAO3<XBSP>","3T2014","-"
"GRAO3<XBSP>","4T2014","-"
"GRAO3<XBSP>","1T2015","-"
"GRAO3<XBSP>","2T2015","-"
"GRAO3<XBSP>","3T2015","-"
"GRAO3<XBSP>","4T2015","-"
"GRAO3<XBSP>","1T2016","-"
"GRAO3<XBSP>","2T2016","-"
"GRAO3<XBSP>","3T2016","-"
"GRAO3<XBSP>","4T2016","-"
"GRAO3<XBSP>","1T2017","-"
"GRAO3<XBSP>","2T2017","-"
"GRAO3<XBSP>","3T2017","-"
"GRAO3<XBSP>","4T2017","-"
"GRAO3<XBSP>","1T2018","-"
"GRAO3<XBSP>","2T2018","-"
"GRAO3<XBSP>","3T2018","-"
"GRAO3<XBSP>","4T2018",84
"GRAO3<XBSP>","1T2019","-"
"GRAO3<XBSP>","2T2019","-"
"GRAO3<XBSP>","3T2019","-"
"GRAO3<XBSP>","4T2019",1312
"GRAO3<XBSP>","1T2020","-"
"GRAO3<XBSP>","2T2020","-"
"GRAO3<XBSP>","3T2020","-"
"GRAO3<XBSP>","4T2020",26038
"GRAO3<XBSP>","1T2021",26656
"GRAO3<XBSP>","2T2021",26823
"GRAO3<XBSP>","3T2021",20726
"GRAO3<XBSP>","4T2021",27639
"GRAO3<XBSP>","1T2022",146182
"GRAO3<XBSP>","2T2022",116794
"GRAO3<XBSP>","3T2022",93932
"GRAO3<XBSP>","4T2022",142479
"GRAO3<XBSP>","1T2023",136897
"GRAO3<XBSP>","2T2023",115928
"GRAO3<XBSP>","3T2023",124253
